Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0.472	1	0	0	1	0	-123.879
0.472071	1	0	0	1	0	-123.879
0.473	1	0	0	1	0	-123.879
0.473071	1	0	0	1	0	-123.879
0.474	1	0	0	1	0	-123.879
0.474071	1	0	0	1	0	-123.879
0.475	1	0	0	1	0	-123.879
0.475071	1	0	0	1	0	-123.879
0.476	1	0	0	1	0	-123.879
0.476071	1	0	0	1	0	-123.879
0.477	1	0	0	1	0	-123.879
0.477071	1	0	0	1	0	-123.879
0.478	1	0	0	1	0	-123.879
0.478071	1	0	0	1	0	-123.879
0.478071	1	0	1	1	1	-123.879
0.479	1	0	0	1	0	-123.879
0.479071	1	0	0	1	0	-123.879
0.48	1	0	0	1	0	-123.879
0.480071	1	0	0	1	0	-123.879
0.481	1	0	0	1	0	-123.879
0.481071	1	0	0	1	0	-123.879
0.482	1	0	0	1	0	-123.879
0.482071	1	0	0	1	0	-123.879
0.483	1	0	0	1	0	-123.879
0.483071	1	0	0	1	0	-123.879
0.484	1	0	0	1	0	-123.879
0.484071	1	0	0	1	0	-123.879
0.485	1	0	0	1	0	-123.879
0.485071	1	0	0	1	0	-123.879
0.485071	1	0	1	1	1	-123.879
0.486	1	0	0	1	0	-123.879
0.486071	1	0	0	1	0	-123.879
0.486071	1	0	1	1	1	-123.879
0.487	1	0	0	1	0	-123.879
0.487071	1	0	0	1	0	-123.879
0.487071	1	0	1	1	1	-123.879
0.488	1	0	0	1	0	-123.879
0.488071	1	0	0	1	0	-123.879
0.488071	1	0	1	1	1	-123.879
0.489	1	0	0	1	0	-123.879
0.489071	1	0	0	1	0	-123.879
0.49	1	0	0	1	0	-123.879
0.490071	1	0	0	1	0	-123.879
0.491	1	0	0	1	0	-123.879
0.491071	1	0	0	1	0	-123.879
0.492	1	0	0	1	0	-123.879
0.492071	1	0	0	1	0	-123.879
0.493	1	0	0	1	0	-123.879
0.493071	1	0	0	1	0	-123.879
0.494	1	0	0	1	0	-123.879
0.494071	1	0	0	1	0	-123.879
0.495	1	0	0	1	0	-123.879
0.495071	1	0	0	1	0	-123.879
0.496	1	0	0	1	0	-123.879
0.496071	1	0	0	1	0	-123.879
0.497	1	0	0	1	0	-123.879
0.497071	1	0	0	1	0	-123.879
0.498	1	0	0	1	0	-123.879
0.498071	1	0	0	1	0	-123.879
0.499	1	0	0	1	0	-123.879
0.499071	1	0	0	1	0	-123.879
0.499071	1	0	1	1	1	-123.879
0.5	1	0	0	1	0	-123.879
0.500071	1	0	0	1	0	-123.879
0.501	1	0	0	1	0	-123.879
0.501071	1	0	0	1	0	-123.879
0.502	1	0	0	1	0	-123.879
0.502071	1	0	0	1	0	-123.879
0.503	1	0	0	1	0	-123.879
0.503071	1	0	0	1	0	-123.879
0.504	1	0	0	1	0	-123.879
0.504071	1	0	0	1	0	-123.879
0.505	1	0	0	1	0	-123.879
0.505071	1	0	0	1	0	-123.879
0.505071	1	0	1	1	1	-123.879
0.506	1	0	0	1	0	-123.879
0.506071	1	0	0	1	0	-123.879
0.506071	1	0	1	1	1	-123.879
0.507	1	0	0	1	0	-123.879
0.507071	1	0	0	1	0	-123.879
0.507071	1	0	1	1	1	-123.879
0.508	1	0	0	1	0	-123.879
0.508071	1	0	0	1	0	-123.879
0.508071	1	0	1	1	1	-123.879
0.509	1	0	0	1	0	-123.879
0.509071	1	0	0	1	0	-123.879
0.51	1	0	0	1	0	-123.879
0.510071	1	0	0	1	0	-123.879
0.511	1	0	0	1	0	-123.879
0.511071	1	0	0	1	0	-123.879
0.512	1	0	0	1	0	-123.879
0.512071	1	0	0	1	0	-123.879
0.513	1	0	0	1	0	-123.879
0.513071	1	0	0	1	0	-123.879
0.514	1	0	0	1	0	-123.879
0.514071	1	0	0	1	0	-123.879
0.515	1	0	0	1	0	-123.879
0.515071	1	0	0	1	0	-123.879
0.516	1	0	0	1	0	-123.879
0.516071	1	0	0	1	0	-123.879
0.517	1	0	0	1	0	-123.879
0.517071	1	0	0	1	0	-123.879
0.518	1	0	0	1	0	-123.879
0.518071	1	0	0	1	0	-123.879
0.519	1	0	0	1	0	-123.879
0.519071	1	0	0	1	0	-123.879
0.519071	1	0	1	1	1	-123.879
0.52	1	0	0	1	0	-123.879
0.520071	1	0	0	1	0	-123.879
0.521	1	0	0	1	0	-123.879
0.521071	1	0	0	1	0	-123.879
0.522	1	0	0	1	0	-123.879
0.522071	1	0	0	1	0	-123.879
0.523	1	0	0	1	0	-123.879
0.523071	1	0	0	1	0	-123.879
0.524	1	0	0	1	0	-123.879
0.524071	1	0	0	1	0	-123.879
0.525	1	0	0	1	0	-123.879
0.525071	1	0	0	1	0	-123.879
0.525071	1	0	1	1	1	-123.879
0.526	1	0	0	1	0	-123.879
0.526071	1	0	0	1	0	-123.879
0.526071	1	0	1	1	1	-123.879
0.527	1	0	0	1	0	-123.879
0.527071	1	0	0	1	0	-123.879
0.527071	1	0	1	1	1	-123.879
0.528	1	0	0	1	0	-123.879
0.528071	1	0	0	1	0	-123.879
0.528071	1	0	1	1	1	-123.879
0.529	1	0	0	1	0	-123.879
0.529071	1	0	0	1	0	-123.879
0.53	1	0	0	1	0	-123.879
0.530071	1	0	0	1	0	-123.879
0.531	1	0	0	1	0	-123.879
0.531071	1	0	0	1	0	-123.879
0.532	1	0	0	1	0	-123.879
0.532071	1	0	0	1	0	-123.879
0.533	1	0	0	1	0	-123.879
0.533071	1	0	0	1	0	-123.879
0.534	1	0	0	1	0	-123.879
0.534071	1	0	0	1	0	-123.879
0.535	1	0	0	1	0	-123.879
0.535071	1	0	0	1	0	-123.879
0.536	1	0	0	1	0	-123.879
0.536071	1	0	0	1	0	-123.879
0.537	1	0	0	1	0	-123.879
0.537071	1	0	0	1	0	-123.879
0.538	1	0	0	1	0	-123.879
0.538071	1	0	0	1	0	-123.879
0.539	1	0	0	1	0	-123.879
0.539071	1	0	0	1	0	-123.879
0.539071	1	0	1	1	1	-123.879
0.54	1	0	0	1	0	-123.879
0.540071	1	0	0	1	0	-123.879
0.541	1	0	0	1	0	-123.879
0.541071	1	0	0	1	0	-123.879
0.542	1	0	0	1	0	-123.879
0.542071	1	0	0	1	0	-123.879
0.543	1	0	0	1	0	-123.879
0.543071	1	0	0	1	0	-123.879
0.544	1	0	0	1	0	-123.879
0.544071	1	0	0	1	0	-123.879
0.545	1	0	0	1	0	-123.879
0.545071	1	0	0	1	0	-123.879
0.545071	1	0	1	1	1	-123.879
0.546	1	0	0	1	0	-123.879
0.546071	1	0	0	1	0	-123.879
0.546071	1	0	1	1	1	-123.879
0.547	1	0	0	1	0	-123.879
0.547071	1	0	0	1	0	-123.879
0.547071	1	0	1	1	1	-123.879
0.548	1	0	0	1	0	-123.879
0.548071	1	0	0	1	0	-123.879
0.548071	1	0	1	1	1	-123.879
0.549	1	0	0	1	0	-123.879
0.549071	1	0	0	1	0	-123.879
0.55	1	0	0	1	0	-123.879
0.550071	1	0	0	1	0	-123.879
0.551	1	0	0	1	0	-123.879
0.551071	1	0	0	1	0	-123.879
0.552	1	0	0	1	0	-123.879
0.552071	1	0	0	1	0	-123.879
0.553	1	0	0	1	0	-123.879
0.553071	1	0	0	1	0	-123.879
0.554	1	0	0	1	0	-123.879
0.554071	1	0	0	1	0	-123.879
0.555	1	0	0	1	0	-123.879
0.555071	1	0	0	1	0	-123.879
0.556	1	0	0	1	0	-123.879
0.556071	1	0	0	1	0	-123.879
0.557	1	0	0	1	0	-123.879
0.557071	1	0	0	1	0	-123.879
0.558	1	0	0	1	0	-123.879
0.558071	1	0	0	1	0	-123.879
0.558071	1	0	1	1	1	-123.879
0.559	1	0	0	1	0	-123.879
0.559071	1	0	0	1	0	-123.879
0.56	1	0	0	1	0	-123.879
0.560071	1	0	0	1	0	-123.879
0.561	1	0	0	1	0	-123.879
0.561071	1	0	0	1	0	-123.879
0.562	1	0	0	1	0	-123.879
0.562071	1	0	0	1	0	-123.879
0.563	1	0	0	1	0	-123.879
0.563071	1	0	0	1	0	-123.879
0.564	1	0	0	1	0	-123.879
0.564071	1	0	0	1	0	-123.879
0.565	1	0	0	1	0	-123.879
0.565071	1	0	0	1	0	-123.879
0.565071	1	0	1	1	1	-123.879
0.566	1	0	0	1	0	-123.879
0.566071	1	0	0	1	0	-123.879
0.566071	1	0	1	1	1	-123.879
0.567	1	0	0	1	0	-123.879
0.567071	1	0	0	1	0	-123.879
0.567071	1	0	1	1	1	-123.879
0.568	1	0	0	1	0	-123.879
0.568071	1	0	0	1	0	-123.879
0.569	1	0	0	1	0	-123.879
0.569071	1	0	0	1	0	-123.879
0.569071	1	0	1	1	1	-123.879
0.57	1	0	0	1	0	-123.879
0.570071	1	0	0	1	0	-123.879
0.571	1	0	0	1	0	-123.879
0.571071	1	0	0	1	0	-123.879
0.572	1	0	0	1	0	-123.879
0.572071	1	0	0	1	0	-123.879
0.573	1	0	0	1	0	-123.879
0.573071	1	0	0	1	0	-123.879
0.574	1	0	0	1	0	-123.879
0.574071	1	0	0	1	0	-123.879
0.575	1	0	0	1	0	-123.879
0.575071	1	0	0	1	0	-123.879
0.576	1	0	0	1	0	-123.879
0.576071	1	0	0	1	0	-123.879
0.577	1	0	0	1	0	-123.879
0.577071	1	0	0	1	0	-123.879
0.578	1	0	0	1	0	-123.879
0.578071	1	0	0	1	0	-123.879
0.578071	1	0	1	1	1	-123.879
0.579	1	0	0	1	0	-123.879
0.579071	1	0	0	1	0	-123.879
