time(s)	cellId	rnti	lcid	packetSize
1.143	2	1	4	8309
1.154	2	1	4	8309
1.154	2	1	4	8309
1.156	2	1	4	8309
1.156	2	1	4	8309
1.157	2	1	4	8309
1.157	2	1	4	8309
1.16	2	1	4	8309
1.16	2	1	4	8309
1.163	2	1	4	8309
1.163	2	1	4	8309
1.174	2	1	4	8309
1.174	2	1	4	8309
1.176	2	1	4	8309
1.176	2	1	4	8309
1.177	2	1	4	8309
1.177	2	1	4	8309
1.18	2	1	4	8309
1.18	2	1	4	8309
1.183	2	1	4	8309
1.183	2	1	4	8309
1.194	2	1	4	8309
1.194	2	1	4	8309
1.196	2	1	4	7618
1.196	2	1	4	7618
1.197	2	1	4	8309
1.197	2	1	4	8309
1.2	2	1	4	8309
1.2	2	1	4	8309
1.203	2	1	4	8309
1.203	2	1	4	8309
1.214	2	1	4	8309
1.214	2	1	4	8309
1.216	2	1	4	8309
1.216	2	1	4	8309
1.217	2	1	4	8309
1.217	2	1	4	8309
1.22	2	1	4	8309
1.22	2	1	4	8309
1.223	2	1	4	8309
1.223	2	1	4	8309
1.234	2	1	4	8309
1.234	2	1	4	8309
1.236	2	1	4	8309
1.236	2	1	4	8309
1.237	2	1	4	8309
1.237	2	1	4	8309
1.24	2	1	4	8309
1.24	2	1	4	8309
1.243	2	1	4	8309
1.243	2	1	4	8309
1.254	2	1	4	8309
1.254	2	1	4	8309
1.256	2	1	4	8309
1.256	2	1	4	8309
1.257	2	1	4	8309
1.257	2	1	4	8309
1.26	2	1	4	8309
1.26	2	1	4	8309
1.263	2	1	4	8309
1.263	2	1	4	8309
1.274	2	1	4	8309
1.274	2	1	4	8309
1.276	2	1	4	7618
1.276	2	1	4	7618
1.277	2	1	4	8309
1.277	2	1	4	8309
1.28	2	1	4	8309
1.28	2	1	4	8309
1.283	2	1	4	8309
1.283	2	1	4	8309
1.294	2	1	4	8309
1.294	2	1	4	8309
1.296	2	1	4	8309
1.296	2	1	4	8309
1.297	2	1	4	8309
1.297	2	1	4	8309
1.3	2	1	4	8309
1.3	2	1	4	8309
1.303	2	1	4	8309
1.303	2	1	4	8309
