time(s)	cellId	rnti	lcid	packetSize
0.416042	2	1	4	1030
0.416082	2	1	4	1030
0.416122	2	1	4	1030
0.416162	2	1	4	1030
0.416202	2	1	4	1030
0.416242	2	1	4	1030
0.416282	2	1	4	1030
0.416322	2	1	4	1030
0.416362	2	1	4	1030
0.416402	2	1	4	1030
0.416442	2	1	4	1030
0.416482	2	1	4	1030
0.416522	2	1	4	1030
0.416562	2	1	4	1030
0.416602	2	1	4	1030
0.416642	2	1	4	1030
0.416682	2	1	4	1030
0.416722	2	1	4	1030
0.416762	2	1	4	1030
0.416802	2	1	4	1030
0.416842	2	1	4	1030
0.416882	2	1	4	1030
0.416922	2	1	4	1030
0.416962	2	1	4	1030
0.417002	2	1	4	1030
0.417042	2	1	4	1030
0.417082	2	1	4	1030
0.417122	2	1	4	1030
0.417162	2	1	4	1030
0.417202	2	1	4	1030
0.417242	2	1	4	1030
0.417282	2	1	4	1030
0.417322	2	1	4	1030
0.417362	2	1	4	1030
0.417402	2	1	4	1030
0.417442	2	1	4	1030
0.417482	2	1	4	1030
0.417522	2	1	4	1030
0.417562	2	1	4	1030
0.417602	2	1	4	1030
0.417642	2	1	4	1030
0.417682	2	1	4	1030
0.417722	2	1	4	1030
0.417762	2	1	4	1030
0.417802	2	1	4	1030
0.417842	2	1	4	1030
0.417882	2	1	4	1030
0.417922	2	1	4	1030
0.417962	2	1	4	1030
0.418002	2	1	4	1030
0.418042	2	1	4	1030
0.418082	2	1	4	1030
0.418122	2	1	4	1030
0.418162	2	1	4	1030
0.418202	2	1	4	1030
0.418242	2	1	4	1030
0.418282	2	1	4	1030
0.418322	2	1	4	1030
0.418362	2	1	4	1030
0.418402	2	1	4	1030
0.418442	2	1	4	1030
0.418482	2	1	4	1030
0.418522	2	1	4	1030
0.418562	2	1	4	1030
0.418602	2	1	4	1030
0.418642	2	1	4	1030
0.418682	2	1	4	1030
0.418722	2	1	4	1030
0.418762	2	1	4	1030
0.418802	2	1	4	1030
0.418842	2	1	4	1030
0.418882	2	1	4	1030
0.418922	2	1	4	1030
0.418962	2	1	4	1030
0.419002	2	1	4	1030
0.419042	2	1	4	1030
0.419082	2	1	4	1030
0.419122	2	1	4	1030
0.419162	2	1	4	1030
0.419202	2	1	4	1030
0.419242	2	1	4	1030
0.419282	2	1	4	1030
0.419322	2	1	4	1030
0.419362	2	1	4	1030
0.419402	2	1	4	1030
0.419442	2	1	4	1030
0.419482	2	1	4	1030
0.419522	2	1	4	1030
0.419562	2	1	4	1030
0.419602	2	1	4	1030
0.419642	2	1	4	1030
0.419682	2	1	4	1030
0.419722	2	1	4	1030
0.419762	2	1	4	1030
0.419802	2	1	4	1030
0.419842	2	1	4	1030
0.419882	2	1	4	1030
0.419922	2	1	4	1030
0.419962	2	1	4	1030
0.420002	2	1	4	1030
0.420042	2	1	4	1030
0.420082	2	1	4	1030
0.420122	2	1	4	1030
0.420162	2	1	4	1030
0.420202	2	1	4	1030
0.420242	2	1	4	1030
0.420282	2	1	4	1030
0.420322	2	1	4	1030
0.420362	2	1	4	1030
0.420402	2	1	4	1030
0.420442	2	1	4	1030
0.420482	2	1	4	1030
0.420522	2	1	4	1030
0.420562	2	1	4	1030
0.420602	2	1	4	1030
0.420642	2	1	4	1030
0.420682	2	1	4	1030
0.420722	2	1	4	1030
0.420762	2	1	4	1030
0.420802	2	1	4	1030
0.420842	2	1	4	1030
0.420882	2	1	4	1030
0.420922	2	1	4	1030
0.420962	2	1	4	1030
0.421002	2	1	4	1030
0.421042	2	1	4	1030
0.421082	2	1	4	1030
0.421122	2	1	4	1030
0.421162	2	1	4	1030
0.421202	2	1	4	1030
0.421242	2	1	4	1030
0.421282	2	1	4	1030
0.421322	2	1	4	1030
0.421362	2	1	4	1030
0.421402	2	1	4	1030
0.421442	2	1	4	1030
0.421482	2	1	4	1030
0.421522	2	1	4	1030
0.421562	2	1	4	1030
0.421602	2	1	4	1030
0.421642	2	1	4	1030
0.421682	2	1	4	1030
0.421722	2	1	4	1030
0.421762	2	1	4	1030
0.421802	2	1	4	1030
0.421842	2	1	4	1030
0.421882	2	1	4	1030
0.421922	2	1	4	1030
0.421962	2	1	4	1030
0.422002	2	1	4	1030
0.422042	2	1	4	1030
0.422082	2	1	4	1030
0.422122	2	1	4	1030
0.422162	2	1	4	1030
0.422202	2	1	4	1030
0.422242	2	1	4	1030
0.422282	2	1	4	1030
0.422322	2	1	4	1030
0.422362	2	1	4	1030
