Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
1.22993	2	1	0	0	12.9896
1.23093	2	1	0	0	12.9896
1.23193	2	1	0	0	12.9896
1.23293	2	1	0	0	12.9896
1.23393	2	1	0	0	12.9896
1.23493	2	1	0	0	12.9896
1.23593	2	1	0	0	12.9896
1.23693	2	1	0	0	9.97931
1.23693	2	1	0	1	9.22529
1.23793	2	1	0	0	12.9896
1.23893	2	1	0	0	9.97931
1.23893	2	1	0	1	9.22529
1.23993	2	1	0	0	9.97931
1.23993	2	1	0	1	9.22529
1.24093	2	1	0	0	12.9896
1.24193	2	1	0	0	12.9896
1.24293	2	1	0	0	9.97931
1.24293	2	1	0	1	9.22529
1.24393	2	1	0	0	12.9896
1.24493	2	1	0	0	12.9896
1.24593	2	1	0	0	9.97931
1.24593	2	1	0	1	9.22529
1.24693	2	1	0	0	12.9896
1.24793	2	1	0	0	12.9896
1.24893	2	1	0	0	12.9896
1.24993	2	1	0	0	12.9896
1.25093	2	1	0	0	12.9896
1.25193	2	1	0	0	12.9896
1.25293	2	1	0	0	12.9896
1.25393	2	1	0	0	12.9896
1.25493	2	1	0	0	12.9896
1.25593	2	1	0	0	12.9896
1.25693	2	1	0	0	9.97931
1.25693	2	1	0	1	9.22529
1.25793	2	1	0	0	12.9896
1.25893	2	1	0	0	9.97931
1.25893	2	1	0	1	9.22529
1.25993	2	1	0	0	9.97931
1.25993	2	1	0	1	9.22529
1.26093	2	1	0	0	12.9896
1.26193	2	1	0	0	12.9896
1.26293	2	1	0	0	9.97931
1.26293	2	1	0	1	9.22529
1.26393	2	1	0	0	12.9896
1.26493	2	1	0	0	12.9896
1.26593	2	1	0	0	9.97931
1.26593	2	1	0	1	9.22529
1.26693	2	1	0	0	12.9896
1.26793	2	1	0	0	12.9896
1.26893	2	1	0	0	12.9896
1.26993	2	1	0	0	12.9896
1.27093	2	1	0	0	12.9896
1.27193	2	1	0	0	12.9896
1.27293	2	1	0	0	12.9896
1.27393	2	1	0	0	12.9896
1.27493	2	1	0	0	12.9896
1.27593	2	1	0	0	12.9896
1.27693	2	1	0	0	9.97931
1.27693	2	1	0	1	9.22529
1.27793	2	1	0	0	12.9896
1.27886	2	1	0	0	9.97931
1.27886	2	1	0	1	9.22529
1.27993	2	1	0	0	9.97931
1.27993	2	1	0	1	9.22529
1.28093	2	1	0	0	12.9896
1.28193	2	1	0	0	12.9896
1.28293	2	1	0	0	9.97931
1.28293	2	1	0	1	9.22529
1.28393	2	1	0	0	13.275
1.28493	2	1	0	0	12.9896
1.28593	2	1	0	0	9.97931
1.28593	2	1	0	1	9.22529
1.28693	2	1	0	0	12.9896
1.28793	2	1	0	0	12.9896
1.28893	2	1	0	0	13.275
1.28993	2	1	0	0	12.9896
1.29093	2	1	0	0	12.9896
1.29193	2	1	0	0	12.9896
1.29293	2	1	0	0	12.9896
1.29393	2	1	0	0	13.275
1.29493	2	1	0	0	12.9896
1.29593	2	1	0	0	12.9896
1.29693	2	1	0	0	9.97931
1.29693	2	1	0	1	9.22529
1.29793	2	1	0	0	12.9896
1.29893	2	1	0	0	9.97931
1.29893	2	1	0	1	9.22529
1.29993	2	1	0	0	9.97931
1.29993	2	1	0	1	9.22529
1.30093	2	1	0	0	12.9896
1.30193	2	1	0	0	12.9896
1.30293	2	1	0	0	9.97931
1.30293	2	1	0	1	9.22529
1.30393	2	1	0	0	12.9896
1.30493	2	1	0	0	12.9896
1.30593	2	1	0	0	9.97931
1.30593	2	1	0	1	9.22529
1.30693	2	1	0	0	12.9896
1.30793	2	1	0	0	12.9896
1.30893	2	1	0	0	12.9896
1.30993	2	1	0	0	12.9896
1.31093	2	1	0	0	12.9896
1.31193	2	1	0	0	12.9896
1.31293	2	1	0	0	12.9896
1.31393	2	1	0	0	12.9896
1.31493	2	1	0	0	12.9896
1.31593	2	1	0	0	12.9896
1.31693	2	1	0	0	9.97931
1.31693	2	1	0	1	9.22529
1.31793	2	1	0	0	12.9896
1.31893	2	1	0	0	29.7955
1.31893	2	1	0	1	29.1335
1.31993	2	1	0	0	29.7955
1.31993	2	1	0	1	29.1335
1.32093	2	1	0	0	32.8058
1.32193	2	1	0	0	32.8058
1.32293	2	1	0	0	29.7955
1.32293	2	1	0	1	29.1335
1.32393	2	1	0	0	29.7955
1.32393	2	1	0	1	29.1335
1.32493	2	1	0	0	29.7955
1.32493	2	1	0	1	29.1335
1.32593	2	1	0	0	29.7955
1.32593	2	1	0	1	29.1335
1.32693	2	1	0	0	29.7955
1.32693	2	1	0	1	29.1335
1.32793	2	1	0	0	29.7955
1.32793	2	1	0	1	29.1335
1.32893	2	1	0	0	29.7955
1.32893	2	1	0	1	29.1335
1.32993	2	1	0	0	29.7955
1.32993	2	1	0	1	29.1335
1.33093	2	1	0	0	29.7955
1.33093	2	1	0	1	29.1335
1.33193	2	1	0	0	32.8058
1.33293	2	1	0	0	32.8058
1.33393	2	1	0	0	29.7955
1.33393	2	1	0	1	29.1335
1.33493	2	1	0	0	29.7955
1.33493	2	1	0	1	29.1335
1.33593	2	1	0	0	29.7955
1.33593	2	1	0	1	29.1335
1.33693	2	1	0	0	29.7955
1.33693	2	1	0	1	29.1335
1.33793	2	1	0	0	29.7955
1.33793	2	1	0	1	29.1335
1.33893	2	1	0	0	29.7955
1.33893	2	1	0	1	29.1335
1.33993	2	1	0	0	29.7955
1.33993	2	1	0	1	29.1335
1.34093	2	1	0	0	29.7955
1.34093	2	1	0	1	29.1335
1.34193	2	1	0	0	29.7955
1.34193	2	1	0	1	29.1335
1.34293	2	1	0	0	32.8058
1.34393	2	1	0	0	32.8058
1.34493	2	1	0	0	29.7955
1.34493	2	1	0	1	29.1335
1.34593	2	1	0	0	29.7955
1.34593	2	1	0	1	29.1335
1.34693	2	1	0	0	29.7955
1.34693	2	1	0	1	29.1335
1.34793	2	1	0	0	29.7955
1.34793	2	1	0	1	29.1335
1.34893	2	1	0	0	29.7955
1.34893	2	1	0	1	29.1335
1.34993	2	1	0	0	29.7955
1.34993	2	1	0	1	29.1335
1.35093	2	1	0	0	29.7955
1.35093	2	1	0	1	29.1335
1.35193	2	1	0	0	29.7955
1.35193	2	1	0	1	29.1335
1.35293	2	1	0	0	29.7955
1.35293	2	1	0	1	29.1335
1.35393	2	1	0	0	32.8058
1.35493	2	1	0	0	32.8058
1.35593	2	1	0	0	29.7955
1.35593	2	1	0	1	29.1335
1.35693	2	1	0	0	29.7955
1.35693	2	1	0	1	29.1335
1.35793	2	1	0	0	29.7955
1.35793	2	1	0	1	29.1335
1.35886	2	1	0	0	29.7955
1.35886	2	1	0	1	29.1335
1.35993	2	1	0	0	29.7955
1.35993	2	1	0	1	29.1335
1.36093	2	1	0	0	29.7955
1.36093	2	1	0	1	29.1335
1.36193	2	1	0	0	29.7955
1.36193	2	1	0	1	29.1335
1.36293	2	1	0	0	29.7955
1.36293	2	1	0	1	29.1335
1.36393	2	1	0	0	29.7955
1.36393	2	1	0	1	29.1335
1.36493	2	1	0	0	32.8058
1.36593	2	1	0	0	32.8058
1.36693	2	1	0	0	29.7955
1.36693	2	1	0	1	29.1335
1.36793	2	1	0	0	29.7955
1.36793	2	1	0	1	29.1335
1.36893	2	1	0	0	29.7955
1.36893	2	1	0	1	29.1335
1.36993	2	1	0	0	29.7955
1.36993	2	1	0	1	29.1335
1.37093	2	1	0	0	29.7955
1.37093	2	1	0	1	29.1335
1.37193	2	1	0	0	29.7955
1.37193	2	1	0	1	29.1335
1.37293	2	1	0	0	29.7955
1.37293	2	1	0	1	29.1335
1.37393	2	1	0	0	29.7955
1.37393	2	1	0	1	29.1335
1.37493	2	1	0	0	29.7955
1.37493	2	1	0	1	29.1335
1.37593	2	1	0	0	32.8058
1.37693	2	1	0	0	32.8058
1.37793	2	1	0	0	29.7955
1.37793	2	1	0	1	29.1335
1.37893	2	1	0	0	29.7955
1.37893	2	1	0	1	29.1335
1.37993	2	1	0	0	29.7955
1.37993	2	1	0	1	29.1335
1.38093	2	1	0	0	29.7955
1.38093	2	1	0	1	29.1335
1.38193	2	1	0	0	29.7955
1.38193	2	1	0	1	29.1335
1.38293	2	1	0	0	29.7955
1.38293	2	1	0	1	29.1335
1.38393	2	1	0	0	29.7955
1.38393	2	1	0	1	29.1335
1.38493	2	1	0	0	29.7955
1.38493	2	1	0	1	29.1335
1.38593	2	1	0	0	29.7955
1.38593	2	1	0	1	29.1335
1.38693	2	1	0	0	32.8058
1.38793	2	1	0	0	32.8058
1.38893	2	1	0	0	29.7955
1.38893	2	1	0	1	29.1335
1.38993	2	1	0	0	29.7955
1.38993	2	1	0	1	29.1335
1.39093	2	1	0	0	29.7955
1.39093	2	1	0	1	29.1335
1.39193	2	1	0	0	29.7955
1.39193	2	1	0	1	29.1335
1.39293	2	1	0	0	29.7955
1.39293	2	1	0	1	29.1335
1.39393	2	1	0	0	29.7955
1.39393	2	1	0	1	29.1335
1.39493	2	1	0	0	29.7955
1.39493	2	1	0	1	29.1335
1.39593	2	1	0	0	29.7955
1.39593	2	1	0	1	29.1335
1.39693	2	1	0	0	29.7955
1.39693	2	1	0	1	29.1335
1.39793	2	1	0	0	32.8058
1.39893	2	1	0	0	32.8058
1.39993	2	1	0	0	29.7955
1.39993	2	1	0	1	29.1335
1.40093	2	1	0	0	29.7955
1.40093	2	1	0	1	29.1335
1.40193	2	1	0	0	29.7955
1.40193	2	1	0	1	29.1335
1.40293	2	1	0	0	29.7955
1.40293	2	1	0	1	29.1335
1.40393	2	1	0	0	29.7955
1.40393	2	1	0	1	29.1335
1.40493	2	1	0	0	29.7955
1.40493	2	1	0	1	29.1335
1.40593	2	1	0	0	29.7955
1.40593	2	1	0	1	29.1335
1.40693	2	1	0	0	29.7955
1.40693	2	1	0	1	29.1335
1.40793	2	1	0	0	29.7955
1.40793	2	1	0	1	29.1335
1.40893	2	1	0	0	32.8058
1.40993	2	1	0	0	32.8058
1.41093	2	1	0	0	29.7955
1.41093	2	1	0	1	29.1335
1.41193	2	1	0	0	29.7955
1.41193	2	1	0	1	29.1335
1.41293	2	1	0	0	29.7955
1.41293	2	1	0	1	29.1335
1.41393	2	1	0	0	29.7955
1.41393	2	1	0	1	29.1335
1.41493	2	1	0	0	29.7955
1.41493	2	1	0	1	29.1335
1.41593	2	1	0	0	29.7955
1.41593	2	1	0	1	29.1335
1.41693	2	1	0	0	29.7955
1.41693	2	1	0	1	29.1335
1.41721	2	1	0	0	29.7955
